max_depth,eta,subsample,colsample_bytree,colsample_bylevel,lambdaX,gamma,ROCtest,ROCtrain-test,PRtest,PRtrain-PRtest
3.0,0.08,0.6,0.6,0.7,0.9,6.0,0.8920033259423503,0.07174882206208422,0.5423108988396652,0.24991225224689406
6.0,0.04,0.4,0.6,1.0,0.5,7.0,0.8961086474501109,0.08478533813747224,0.5449596331931806,0.3079429241256376
4.0,0.05,0.8,0.7,0.9,0.2,6.0,0.9033481152993348,0.08510227272727278,0.5632896026161037,0.33746043608675036
6.0,0.09,0.6,0.5,0.6,0.5,4.0,0.8990920177383593,0.08071057372505519,0.5435105102827771,0.36510354650222565
6.0,0.05,0.5,0.7,0.8,1.0,8.0,0.8863913525498891,0.06419907150776061,0.5261461444615751,0.20575880247833056
8.0,0.06,0.7,0.6,0.8,0.9,7.0,0.8972239467849225,0.08248752771618617,0.5547721377565822,0.30882120722290674
7.0,0.04,0.8,0.9,1.0,0.3,4.0,0.9086818181818181,0.09030972838137474,0.5725063592424824,0.41569925407419395
5.0,0.03,0.9,0.5,0.8,0.4,8.0,0.9007472283813748,0.07733938470066515,0.5532651712525479,0.2857002571749361
8.0,0.09,0.8,0.7,0.7,0.2,6.0,0.9012472283813748,0.09528215077605329,0.5489524247828438,0.41225293814774333
4.0,0.04,0.5,0.7,0.9,0.5,8.0,0.8930953436807094,0.07353894124168525,0.5363464743604844,0.250754136846562
3.0,0.06,0.6,0.8,0.9,0.1,5.0,0.8937250554323726,0.08060885532150774,0.5481050480384158,0.27020700529826425
8.0,0.04,0.9,0.8,0.6,0.1,8.0,0.8997937915742794,0.09262957317073162,0.5465744805047399,0.37315528055189406
5.0,0.09,0.9,0.5,0.7,1.0,7.0,0.8978935698447893,0.07994844789356981,0.5477012530027047,0.3025742705652613
5.0,0.07,0.4,0.6,1.0,0.9,7.0,0.8948758314855876,0.0737175720620844,0.5372017178511943,0.263567273276902
3.0,0.02,0.9,0.5,0.8,0.8,6.0,0.8789235033259424,0.04297949002217294,0.5185997508138167,0.1741745936886897
6.0,0.02,0.5,0.7,0.7,0.6,8.0,0.8733736141906873,0.05975145509977842,0.502777588041055,0.19838641785181266
5.0,0.09,0.4,0.9,0.8,1.0,6.0,0.8958580931263859,0.08121909645232817,0.5507059203546345,0.2908387439707302
5.0,0.04,0.7,0.9,0.7,0.1,7.0,0.8967538802660753,0.07431319290465643,0.5457096437378417,0.29955053868748227
6.0,0.09,0.9,0.9,0.6,0.3,7.0,0.9041862527716186,0.08658903824833708,0.5650092384582686,0.3563317876134928
7.0,0.01,0.8,0.6,0.7,0.9,5.0,0.8928292682926828,0.06773607261640802,0.534976691187245,0.301043959811944
3.0,0.09,0.5,0.5,0.9,0.7,4.0,0.89589911308204,0.06650110864745018,0.5413036142345117,0.25258085664441
4.0,0.09,0.9,0.5,0.6,0.4,8.0,0.8966286031042129,0.07235864745011078,0.5439795674392794,0.25932812865157395
4.0,0.03,0.5,0.7,1.0,0.2,4.0,0.8920321507760531,0.07286723946784923,0.5421896973123876,0.28484844142644783
6.0,0.03,0.9,0.7,0.7,0.9,4.0,0.9069844789356984,0.08193098669623056,0.55441421037728,0.3750926193924481
4.0,0.02,0.9,0.6,0.6,0.9,5.0,0.8753980044345898,0.045005266075387906,0.5095288465284883,0.20486787684925023
3.0,0.04,0.8,0.9,0.8,1.0,7.0,0.8802317073170732,0.0477854074279378,0.5300127857653794,0.182713692752547
5.0,0.02,0.9,0.6,0.7,0.3,6.0,0.9007184035476719,0.07211273558758313,0.544540017929808,0.3078456083197585
