,max_depth,max_features,min_samples_split,min_samples_leaf,ROCtest,ROCtrain-test,PRtest,PRtrain-PRtest
0,10.0,42.0,9.0,8.0,0.8880620842572062,0.09060726164079824,0.48842262706223183,0.34986371804413374
1,9.0,48.0,8.0,3.0,0.8815354767184036,0.09564273835920167,0.4894202607887763,0.3842183861304228
2,10.0,39.0,9.0,4.0,0.8866751662971175,0.0975138580931264,0.4954439033366246,0.3950723633882619
3,7.0,50.0,5.0,5.0,0.88170066518847,0.0748804046563194,0.49445264618625134,0.31144387223188225
4,7.0,52.0,9.0,2.0,0.8770232815964525,0.07569373614190678,0.4862151348992806,0.32235291252159326
5,7.0,52.0,10.0,8.0,0.8832372505543237,0.07132718957871398,0.48924251174416933,0.28927674594388697
6,6.0,51.0,2.0,2.0,0.8751929046563193,0.06333439578713962,0.47598651939906605,0.2989558755977563
7,7.0,40.0,10.0,2.0,0.8776707317073171,0.07280314578713976,0.4821800322312291,0.3161100238287539
8,10.0,45.0,4.0,1.0,0.8828592017738359,0.1033367516629713,0.4879964818471083,0.42894022001089716
9,10.0,46.0,9.0,4.0,0.8861019955654102,0.09777688470066526,0.4961486630444677,0.3936658165051369
10,8.0,53.0,9.0,4.0,0.8819146341463414,0.08590541851441258,0.495014697616336,0.3460892559263167
11,10.0,38.0,10.0,10.0,0.8856463414634146,0.09017509700665194,0.4784683850285745,0.3312837177648768
12,7.0,44.0,6.0,3.0,0.8785931263858092,0.07697096729490027,0.47861017976905096,0.3360802210537239
13,7.0,50.0,8.0,5.0,0.88170066518847,0.0748804046563194,0.49445264618625134,0.31144387223188225
14,7.0,51.0,7.0,6.0,0.8833414634146342,0.07182615022172956,0.490740344984309,0.30499184325045164
15,6.0,39.0,5.0,5.0,0.8763980044345898,0.06152764689578705,0.47976249137050697,0.2760060087729648
16,7.0,53.0,2.0,1.0,0.8759944567627495,0.07932670454545454,0.48855842177989073,0.3352146543007619
17,7.0,38.0,7.0,2.0,0.8759312638580932,0.07622290742793791,0.4827721934284961,0.3267404270317552
18,10.0,51.0,3.0,2.0,0.8810931263858093,0.10659035476718404,0.4873549571718435,0.4317422584088175
19,7.0,52.0,7.0,6.0,0.8808381374722838,0.07496777993348125,0.48600649021037257,0.31107794834814706
20,9.0,39.0,5.0,3.0,0.8817161862527717,0.09775443458980038,0.4911435025302948,0.38864821854324794
21,8.0,37.0,10.0,8.0,0.883310421286031,0.08113338414634153,0.47711243672882037,0.32043037896126497
22,10.0,49.0,8.0,5.0,0.8872594235033258,0.09696951219512207,0.500511344434982,0.3858618083221468
23,6.0,47.0,3.0,2.0,0.873670731707317,0.06252889412416873,0.4793840022102289,0.29244265201147357
24,10.0,49.0,10.0,6.0,0.8862638580931265,0.096199140798226,0.4947731819105914,0.3754711467559033
25,7.0,37.0,8.0,2.0,0.8782871396895787,0.07500561252771598,0.4865689374384578,0.32035962686382397
26,8.0,53.0,7.0,5.0,0.8840277161862528,0.08432414079822614,0.5017303865728134,0.3351695467050828
27,9.0,48.0,3.0,3.0,0.8856374722838138,0.09284388858093118,0.4937528157904706,0.3882339697575582
28,7.0,50.0,2.0,1.0,0.8760831485587582,0.07912929600886909,0.48649666606223396,0.33820431727133504
29,9.0,41.0,10.0,7.0,0.8851940133037693,0.08942793791574288,0.4923964249511975,0.3426498208598032
30,6.0,39.0,5.0,1.0,0.8702583148558757,0.06411134977827071,0.4749630148242943,0.29253747179099004
31,8.0,53.0,10.0,8.0,0.8850864745011086,0.08074896064301562,0.49316820384086996,0.3121626617120488
32,8.0,42.0,8.0,4.0,0.8831186252771619,0.08580938192904652,0.49007133725963453,0.35564091453290264
33,6.0,51.0,7.0,1.0,0.872038802660754,0.06405501662971169,0.4752094967286194,0.29433816071606994
34,10.0,44.0,9.0,9.0,0.8886596452328159,0.08867766075388028,0.49100601692454315,0.33402694350710116
35,10.0,46.0,8.0,4.0,0.8855720620842572,0.09908495011086471,0.4959533050749383,0.3980026193454662
36,9.0,49.0,9.0,4.0,0.8840842572062083,0.09378533813747247,0.4990695957272262,0.3717797419957606
37,7.0,48.0,3.0,3.0,0.8791274944567629,0.07587832594235011,0.48649464140706067,0.32905010658720435
38,9.0,49.0,9.0,9.0,0.8875809312638582,0.08510643015521058,0.4947341780696507,0.3180234670183866
39,9.0,46.0,3.0,3.0,0.8825454545454546,0.09702889412416849,0.4945291453011384,0.38857230852723496
40,10.0,50.0,10.0,8.0,0.8894235033259423,0.09004309866962312,0.4961443625623304,0.345041801987892
41,8.0,48.0,5.0,2.0,0.8809700665188469,0.08819117239467855,0.4933499739953261,0.3635290906818819
42,9.0,51.0,6.0,4.0,0.883359201773836,0.09531146064301554,0.49449811550707173,0.37838342999048663
43,8.0,48.0,9.0,5.0,0.8810809312638581,0.08814412416851436,0.4951298102314709,0.3416570567616976
44,9.0,48.0,10.0,4.0,0.8863414634146342,0.09103804046563202,0.5000739699865517,0.36360216238686505
45,8.0,53.0,10.0,9.0,0.8836152993348115,0.08116033813747214,0.4894780305299048,0.3033872908480054
46,9.0,49.0,3.0,1.0,0.8788470066518845,0.10085268847006668,0.48613216194982084,0.40839547882626454
47,10.0,47.0,8.0,7.0,0.8900310421286031,0.09082732815964523,0.49721433982804114,0.35819267408957894
48,8.0,45.0,9.0,6.0,0.8823946784922395,0.08603367516629701,0.4844228846359061,0.3416554251426429
49,6.0,41.0,10.0,10.0,0.8790532150776054,0.05918091740576492,0.47793913267119026,0.24361818921275014
